Model version,Images trained,Time [s],Loss (G),Loss (D),Loss (D-Real),Loss (D-Fake),Loss (D-GP)
1,41760,720.3336942195892,0.45355886,7.654908,-0.7961559,-0.45355886,8.904622
2,84320,1443.5894784927368,15.817193,-23.53748,-18.564362,-15.817193,10.844077
3,126864,2167.6668314933777,-5.210978,-18.226503,-31.51338,5.210978,8.075899
4,169216,2891.605542898178,-33.587418,-1.9541544,-38.772297,33.587418,3.2307155
5,211648,3615.4838547706604,-2.613272,-3.0985532,-7.7118993,2.613272,2.0000734
6,254528,4339.365220785141,5.898399,-4.0314074,0.1971964,-5.898399,1.6697953
7,297408,5063.486979484558,13.600249,-5.91953,5.7038274,-13.600249,1.9768915
8,340272,5787.590148448944,11.109417,-6.269038,3.0398626,-11.109417,1.8005149
9,382704,6511.588698387146,14.282213,-6.546364,5.772477,-14.282213,1.963371
10,425120,7235.665026426315,9.847898,-5.742474,2.475113,-9.847898,1.6303099
11,467440,7959.6197509765625,8.238384,-3.9998531,3.0934043,-8.238384,1.1451272
12,509408,8683.54697728157,15.385701,-4.008096,10.341426,-15.385701,1.0361799
13,551664,9407.420767307281,17.521366,-4.0053573,12.393805,-17.521366,1.1222042
14,593856,10131.241180419922,18.22949,-3.6163764,13.651228,-18.22949,0.9618846
15,636336,10855.317298650742,16.68597,-3.6956134,12.012699,-16.68597,0.9776582
16,678656,11579.33981847763,10.134639,-3.4083567,5.868643,-10.134639,0.8576384
17,721040,12303.397879123688,14.366994,-3.438039,10.091399,-14.366994,0.8375566
18,763280,13027.359395503998,4.7779403,-3.291972,0.710462,-4.7779403,0.77550596
19,805408,13751.336755990982,2.9517813,-3.4351182,-1.2600026,-2.9517813,0.7766656
20,847248,14475.377101421356,6.7661695,-3.402979,2.578668,-6.7661695,0.7845226
21,889472,15200.463460445404,3.9693096,-3.3885326,-0.14973398,-3.9693096,0.7305108
22,931536,15924.410916805267,4.3096085,-3.0437083,0.5943586,-4.3096085,0.67154145
23,973616,16648.211723327637,0.8962531,-3.2337637,-3.1158683,-0.8962531,0.77835673
24,1015648,17372.300174713135,-2.1224272,-2.9080544,-5.7008777,2.1224272,0.67039585
25,1057584,18096.16524887085,0.53121316,-3.0512402,-3.1879172,-0.53121316,0.66789025
26,1099488,18820.15196633339,-3.5524397,-2.8571873,-7.0502143,3.5524397,0.6405877
27,1141472,19544.000605106354,1.4540968,-2.7846973,-1.919692,-1.4540968,0.5890917
28,1183456,20268.15035057068,-1.3549387,-2.8046985,-4.796102,1.3549387,0.63646466
29,1225408,20992.41067647934,1.4759337,-2.6521518,-1.7240915,-1.4759337,0.54787296
30,1267264,21716.608533382416,4.1921964,-2.5000107,1.1627617,-4.1921964,0.529424
31,1309120,22440.660432100296,-6.6465425,-2.4454474,-9.656664,6.6465425,0.56467354
32,1351024,23164.689457654953,0.29987785,-2.7615778,-2.9980512,-0.29987785,0.53635097
33,1392960,23888.541242599487,-7.398722,-2.3283992,-10.267089,7.398722,0.53996885
34,1434880,24612.672729969025,-7.5269995,-2.393312,-10.447189,7.5269995,0.52687746
35,1476624,25337.34709095955,-6.3245854,-2.283398,-9.088007,6.3245854,0.4800235
36,1518112,26061.5952167511,-8.083604,-2.2431197,-10.795908,8.083604,0.4691841
37,1560160,26785.75748181343,-8.04871,-2.3530934,-10.881999,8.04871,0.48019508
38,1602096,27509.72765994072,-9.898707,-1.9870647,-12.315443,9.898707,0.42967072
39,1644096,28233.633241415024,-0.6632565,-2.0508053,-3.1280832,0.6632565,0.41402173
40,1686112,28957.721156835556,-3.5057838,-1.9617271,-5.8473835,3.5057838,0.37987185
41,1728240,29682.669634580612,-7.556019,-1.8465412,-9.775902,7.556019,0.37334096
42,1770416,30406.668363809586,-7.1665063,-1.8845178,-9.408952,7.1665063,0.35792795
43,1812496,31130.484861135483,-2.8623013,-1.8279516,-5.017542,2.8623013,0.32728884
44,1854496,31854.46510076523,-1.8744112,-1.9447627,-4.1873217,1.8744112,0.3681475
45,1896528,32578.61757874489,-3.38214,-1.7929841,-5.521994,3.38214,0.3468696
46,1938416,33302.96457743645,-3.5585687,-1.8946726,-5.8141103,3.5585687,0.36086875
47,1980528,34026.73956036568,2.0129662,-1.818369,-0.1634567,-2.0129662,0.358054
48,2022496,34751.036309957504,6.1926284,-1.7325885,4.0927606,-6.1926284,0.36727917
49,2064208,35475.00179409981,-1.2717092,-1.8083757,-3.437751,1.2717092,0.35766637
50,2106064,36199.25079250336,-1.0993935,-1.6179479,-2.992212,1.0993935,0.27487075
51,2147664,36923.35531640053,-2.658607,-1.7263098,-4.683554,2.658607,0.298637
52,2189888,37647.26085233688,-2.5807288,-1.6340854,-4.5033703,2.5807288,0.28855583
