Model version,Images trained,Time [s],Loss (G),Loss (D),Loss (D-Real),Loss (D-Fake),Loss (D-GP)
1,95168,720.2501142024994,13.486764,-33.63227,-25.656927,-13.486764,5.511426
2,189888,1449.5915553569794,-10.877948,-23.266161,-39.849354,10.877948,5.7052445
3,286208,2178.5406935215,-3.7629392,-11.84478,-19.143496,3.7629392,3.5357773
4,382912,2907.4154121875763,-2.2818859,-5.833233,-10.129249,2.2818859,2.0141308
5,479680,3636.505858182907,-5.9202504,-10.061823,-19.489305,5.9202504,3.507232
6,574208,4365.932700395584,3.734063,-8.607259,-7.4044924,-3.734063,2.5312965
7,669248,5095.122473955154,2.5662382,-7.4266324,-6.980854,-2.5662382,2.12046
8,764096,5824.022725820541,0.050899368,-8.58426,-11.167871,-0.050899368,2.6345105
9,858688,6552.951498746872,-1.8820963,-5.969192,-9.483122,1.8820963,1.6318333
10,953344,7282.162033081055,9.549288,-5.7543974,2.2513454,-9.549288,1.5435449
11,1047232,8011.88106918335,8.915272,-5.9432435,1.3510276,-8.915272,1.6209999
12,1141568,8740.990635633469,13.207327,-4.6135345,7.298848,-13.207327,1.294945
13,1235904,9470.022391557692,13.478778,-4.067206,8.340359,-13.478778,1.071214
14,1329856,10199.005917787552,13.435483,-4.2593193,8.094973,-13.435483,1.0811914
15,1423552,10928.010699033735,10.001775,-3.9182873,4.9674187,-10.001775,1.1160684
16,1517696,11657.374854326248,7.4600997,-3.7369096,2.7144628,-7.4600997,1.0087273
17,1611264,12386.001722812653,4.863351,-3.9198596,-0.030716797,-4.863351,0.974208
18,1705216,13115.37437582016,-0.78579676,-4.222119,-6.056503,0.78579676,1.0485872
19,1798720,13845.408289909365,8.879403,-3.6560535,4.3072357,-8.879403,0.91611487
20,1892096,14574.85688328743,7.865921,-3.6816788,3.3061173,-7.865921,0.8781245
21,1982720,15295.444401741028,8.983382225036621,-3.579705238342285,4.579423904418945,-8.983382225036621,0.8242528438568115
22,2075776,16024.967172384262,7.137629508972168,-3.587068557739258,2.746034622192383,-7.137629508972168,0.8045266270637512
23,2172224,16754.123302459717,-4.143644332885742,-3.622065544128418,-8.556354522705078,4.143644332885742,0.7906442880630493
24,2269696,17483.218742132187,0.38580068945884705,-3.4576923847198486,-3.887648582458496,-0.38580068945884705,0.8157570362091064
25,2366208,18212.350931167603,6.071281909942627,-3.5121700763702393,1.8048210144042969,-6.071281909942627,0.754290759563446
26,2463360,18941.335874557495,10.202005386352539,-3.5940487384796143,5.80248498916626,-10.202005386352539,0.805472195148468
27,2560064,19670.224422693253,3.1857750415802,-3.3752636909484863,-0.997893214225769,-3.1857750415802,0.8084044456481934
28,2655296,20399.249535560608,3.274036407470703,-3.1597771644592285,-0.6337938904762268,-3.274036407470703,0.7480529546737671
29,2749120,21128.97944879532,3.2084786891937256,-3.0943331718444824,-0.5597203969955444,-3.2084786891937256,0.6738660931587219
30,2843136,21857.780205726624,8.28087329864502,-2.9688892364501953,4.654664039611816,-8.28087329864502,0.657321035861969
31,2937536,22586.985959291458,8.59243392944336,-3.2580833435058594,4.579174518585205,-8.59243392944336,0.7551760077476501
32,3032320,23316.478028059006,7.891782760620117,-3.393077850341797,3.7573282718658447,-7.891782760620117,0.7413761019706726
33,3126336,24046.014462709427,3.730814218521118,-3.0385663509368896,-0.12951502203941345,-3.730814218521118,0.82176274061203
34,3220864,24775.38947582245,-6.488836765289307,-3.1584043502807617,-10.350625991821289,6.488836765289307,0.7033851742744446
35,3313280,25504.280282735825,-0.3159543573856354,-3.387359142303467,-4.445308208465576,0.3159543573856354,0.7419952750205994
36,3407424,26234.476322889328,-2.7855706214904785,-3.055657386779785,-6.595233917236328,2.7855706214904785,0.7540061473846436
37,3500288,26963.360841989517,-6.081255912780762,-3.0061964988708496,-9.71904468536377,6.081255912780762,0.6315918564796448
38,3593472,27692.32949280739,-7.464035987854004,-3.1325955390930176,-11.24924373626709,7.464035987854004,0.6526135206222534
39,3685440,28421.04717373848,-6.944845676422119,-3.100329637527466,-10.717767715454102,6.944845676422119,0.6725931763648987
40,3778752,29149.9651119709,1.8731255531311035,-2.9938433170318604,-1.7792332172393799,-1.8731255531311035,0.6585156917572021
41,3871872,29882.242569684982,-3.9528963565826416,-2.9775547981262207,-7.540615081787109,3.9528963565826416,0.6101632118225098
42,3965760,30611.28067135811,-2.775357246398926,-2.6666955947875977,-5.998989582061768,2.775357246398926,0.5569370985031128
43,4058368,31339.89984679222,-3.800584554672241,-2.730313777923584,-7.104031085968018,3.800584554672241,0.5731332302093506
44,4150848,32069.04790329933,-5.080183506011963,-2.7596380710601807,-8.410558700561523,5.080183506011963,0.5707376599311829
45,4243840,32797.92939686775,-2.227492332458496,-2.7083656787872314,-5.522163391113281,2.227492332458496,0.5863049626350403
46,4337280,33526.82900619507,-2.5909371376037598,-2.810800075531006,-6.0071702003479,2.5909371376037598,0.6054335236549377
47,4430656,34256.59311628342,-5.2129597663879395,-2.9205517768859863,-8.773242950439453,5.2129597663879395,0.6397317051887512
48,4524160,34985.578353881836,-4.29473352432251,-2.9167320728302,-7.853011131286621,4.29473352432251,0.6415444612503052
49,4616512,35714.29641890526,-4.44611930847168,-2.6285784244537354,-7.578305244445801,4.44611930847168,0.5036070942878723
50,4708160,36443.2295460701,-0.6499082446098328,-2.8263778686523438,-4.092676162719727,0.6499082446098328,0.6163904070854187
51,4801792,37172.37517905235,0.9960653185844421,-2.5532169342041016,-2.0611801147460938,-0.9960653185844421,0.5040283799171448
52,4894080,37901.75070309639,-3.120232582092285,-2.5457236766815186,-6.222374439239502,3.120232582092285,0.5564176440238953
53,4985856,38630.73014163971,-5.545226573944092,-2.495889902114868,-8.561922073364258,5.545226573944092,0.5208058953285217
54,5077952,39360.781728982925,-3.3081650733947754,-2.50351619720459,-6.34309720993042,3.3081650733947754,0.5314158201217651
55,5170752,40090.28520202637,-4.061324596405029,-2.521696090698242,-7.0756635665893555,4.061324596405029,0.49264243245124817
56,5262848,40819.14886689186,-5.619572162628174,-2.3598134517669678,-8.505154609680176,5.619572162628174,0.5257695317268372
57,5355392,41548.051295757294,-5.968044281005859,-2.371208667755127,-8.796896934509277,5.968044281005859,0.4576438069343567
58,5446784,42276.71818399429,-2.6282317638397217,-2.328608274459839,-5.413344383239746,2.6282317638397217,0.4565044939517975
59,5539008,43006.42196416855,-6.851608753204346,-2.1443583965301514,-9.429319381713867,6.851608753204346,0.43335333466529846
60,5630912,43735.560963869095,-3.050503730773926,-2.2749412059783936,-5.794075965881348,3.050503730773926,0.46863099932670593
61,5722944,44467.69766616821,-7.352843284606934,-2.282193183898926,-10.100205421447754,7.352843284606934,0.46516990661621094
62,5815680,45196.401998996735,-2.257504940032959,-2.044534683227539,-4.7309889793396,2.257504940032959,0.4289492666721344
63,5907264,45926.96376943588,-8.596790313720703,-1.9869803190231323,-10.964658737182617,8.596790313720703,0.3808879554271698
