Model version,Images trained,Time [s],Loss (G),Loss (D),Loss (D-Real),Loss (D-Fake),Loss (D-GP)
1,53456,720.2860610485077,4.544996,-18.430447,-20.225328,-4.544996,6.339877
2,108400,1443.1504652500153,8.141591,-8.099976,-2.317178,-8.141591,2.3587928
3,163616,2166.063898563385,6.2671876,-5.8165884,-1.1517467,-6.2671876,1.6023461
4,219472,2888.9301307201385,4.6350474,-5.128667,-1.8474382,-4.6350474,1.3538191
5,276192,3611.8779635429382,4.9058604,-4.461089,-0.642228,-4.9058604,1.0869993
6,332464,4334.577540636063,4.947016,-3.5915158,0.51170444,-4.947016,0.8437959
7,388992,5057.303030252457,8.11591,-3.397921,3.9747033,-8.11591,0.7432849
8,445168,5780.086302757263,5.1409645,-2.9746194,1.4946274,-5.1409645,0.6717174
9,501536,6502.77468752861,2.790317,-2.991744,-0.8062513,-2.790317,0.60482424
10,557968,7225.64519739151,7.7594285,-2.7259114,4.4956017,-7.7594285,0.53791606
11,614288,7948.361901283264,5.946817,-2.5686903,2.8778832,-5.946817,0.50024337
12,670688,8671.229981184006,8.396706,-2.4816747,5.4445724,-8.396706,0.470458
13,726784,9394.024755239487,4.103549,-2.2899346,1.4063475,-4.103549,0.40726697
14,782128,10116.876094579697,6.1486826,-2.299542,3.4352775,-6.1486826,0.41386312
15,837088,10839.737298488617,5.026576,-2.1753256,2.481379,-5.026576,0.3698714
16,892576,11562.509018182755,6.6468053,-2.0292218,4.255403,-6.6468053,0.36218065
17,947696,12285.39916419983,6.423209,-1.9475129,4.1518254,-6.423209,0.32387036
18,1002512,13008.066332817078,4.868776,-1.8346401,2.7224014,-4.868776,0.31173402
19,1057888,13731.14673781395,4.6300845,-1.7728602,2.5565236,-4.6300845,0.30070084
20,1112976,14454.077938318253,5.2498484,-1.7090915,3.2612488,-5.2498484,0.2795083
21,1167600,15177.072422742844,4.950709,-1.6604847,3.0237598,-4.950709,0.26646468
22,1222560,15899.984050989151,3.2039256,-1.5527464,1.4010681,-3.2039256,0.25011122
23,1278224,16622.7900493145,4.6129904,-1.5346453,2.839798,-4.6129904,0.23854737
24,1333664,17345.87257862091,3.5470097,-1.4957345,1.8114222,-3.5470097,0.2398532
25,1388752,18068.763769865036,3.115872,-1.486263,1.3913661,-3.115872,0.23824303
26,1444016,18791.933598279953,3.2504032,-1.440873,1.5836598,-3.2504032,0.2258704
27,1499008,19514.6320374012,2.8146195,-1.4205257,1.1758704,-2.8146195,0.21822347
28,1553872,20237.398001909256,2.5227566,-1.3743552,0.9391137,-2.5227566,0.20928761
29,1608496,20960.24733567238,2.2884142,-1.3773612,0.69442,-2.2884142,0.21663319
30,1663312,21683.103841781616,1.4591972,-1.3574767,-0.11556076,-1.4591972,0.21728115
31,1718064,22406.052654743195,1.4650631,-1.3207822,-0.05627581,-1.4650631,0.20055656
32,1773120,23128.934965372086,2.4464865,-1.3411111,0.9105279,-2.4464865,0.19484767
33,1828160,23851.9196164608,2.6753435,-1.2953906,1.1965474,-2.6753435,0.18340562
34,1883744,24575.181310415268,2.5083573,-1.2806392,1.036302,-2.5083573,0.1914164
35,1939088,25297.948457956314,2.16969,-1.3264525,0.6435966,-2.16969,0.19964088
36,1994272,26020.820061206818,3.3050766,-1.2874285,1.8131374,-3.3050766,0.20451078
37,2049280,26743.68745136261,2.8891575,-1.3011389,1.402722,-2.8891575,0.18529671
38,2104624,27466.456918239594,2.6166782,-1.2924116,1.1344203,-2.6166782,0.18984647
39,2159376,28189.242295265198,3.0416145,-1.2869531,1.566047,-3.0416145,0.18861455
40,2213856,28912.07403421402,2.6025343,-1.3081096,1.0941608,-2.6025343,0.2002638
41,2269280,29635.138748168945,2.6741545,-1.3019551,1.18408,-2.6741545,0.18811937
42,2324480,30357.941209077835,2.6908407,-1.3080293,1.1837043,-2.6908407,0.19910711
43,2379120,31080.70463323593,2.3375149,-1.2679967,0.891926,-2.3375149,0.1775924
44,2434160,31803.531304597855,2.0262039,-1.2847574,0.5532979,-2.0262039,0.18814884
45,2488704,32526.45493865013,2.126957,-1.2846061,0.6540155,-2.126957,0.18833522
46,2543520,33249.18700456619,2.7658405,-1.2880623,1.2915986,-2.7658405,0.18617953
47,2598656,33971.94968867302,2.5991633,-1.2680498,1.1434332,-2.5991633,0.18768018
48,2653696,34694.79592132568,2.4680672,-1.3121859,0.95497644,-2.4680672,0.20090494
49,2708624,35417.57463145256,2.1184738,-1.2889909,0.6396152,-2.1184738,0.18986769
50,2763168,36140.53322529793,2.4566703,-1.3107136,0.95230955,-2.4566703,0.19364716
51,2817808,36863.420979738235,2.3478115,-1.2880971,0.8694856,-2.3478115,0.19022876
52,2872592,37586.39381122589,1.9055374,-1.3155389,0.39738306,-1.9055374,0.19261533
53,2927632,38309.72148013115,0.8875141,-1.3033551,-0.60932297,-0.8875141,0.19348201
54,2982304,39032.679169893265,1.1331732,-1.268442,-0.3271683,-1.1331732,0.1918996
55,3036288,39755.64294505119,0.07491315,-1.3335892,-1.4511096,-0.07491315,0.19243369
