Model version,Images trained,Time [s],Loss (G),Loss (D),Loss (D-Real),Loss (D-Fake),Loss (D-GP)
1,52208,720.2774839401245,-4.315676,-15.510103,-24.762201,4.315676,4.9364223
2,105536,1443.6025149822235,-9.622169,-3.251088,-14.458886,9.622169,1.5856309
3,158944,2166.501200199127,-0.32851994,-1.6092825,-2.7677004,0.32851994,0.829898
4,212896,2889.256942987442,-0.47792402,-3.5911365,-5.0613565,0.47792402,0.9922967
5,268432,3612.1162207126617,-2.1826255,-3.541997,-6.5995846,2.1826255,0.874962
6,323856,4334.962394952774,-0.34786516,-3.2180953,-4.344625,0.34786516,0.7786645
7,379344,5057.819492101669,1.704483,-2.783077,-1.7303184,-1.704483,0.65172404
8,434816,5780.721305131912,0.015016515,-2.5379262,-3.0924432,-0.015016515,0.5695336
9,490608,6503.554058074951,2.7061334,-2.2974844,-0.11165572,-2.7061334,0.52030444
10,546368,7226.328182697296,3.889097,-1.9582063,1.5093437,-3.889097,0.42154676
11,601936,7949.175603866577,3.702603,-1.8049734,1.5433656,-3.702603,0.35426438
12,657392,8671.919398784637,7.400173,-1.6213865,5.434742,-7.400173,0.3440441
13,712992,9394.749022722244,4.6224184,-1.4618567,2.87368,-4.6224184,0.28688172
14,768304,10117.444881439207,5.459004,-1.4797041,3.7034378,-5.459004,0.27586246
15,823344,10840.533638477324,3.862827,-1.4343892,2.134168,-3.862827,0.2942698
16,878464,11563.251081943512,5.503404,-1.396542,3.835185,-5.503404,0.27167633
17,933824,12285.997001171112,6.314444,-1.358541,4.7152367,-6.314444,0.24066655
18,988800,13008.69905591011,6.1248975,-1.3260179,4.553351,-6.1248975,0.24552864
19,1043744,13731.545336961746,4.0954056,-1.25992,2.6212137,-4.0954056,0.21427184
20,1099024,14454.54126381874,5.4458427,-1.23014,4.0145197,-5.4458427,0.20118229
21,1154224,15177.608382225037,8.612887,-1.2190505,7.1741724,-8.612887,0.2196646
22,1209440,15900.69008231163,7.2466044,-1.165644,5.8727264,-7.2466044,0.20823331
23,1264576,16623.532950639725,5.452781,-1.2091708,4.050283,-5.452781,0.19332682
24,1319808,17346.351291418076,7.679863,-1.1439413,6.34111,-7.679863,0.19481155
25,1373872,18066.507353782654,6.988629341125488,-1.1729083061218262,5.6223673820495605,-6.988629341125488,0.19335326552391052
26,1428752,18789.329570531845,6.883798599243164,-1.1199525594711304,5.577788829803467,-6.883798599243164,0.1860572248697281
27,1483680,19512.27441382408,6.085513591766357,-1.1765090227127075,4.710639476776123,-6.085513591766357,0.19836534559726715
28,1539056,20235.056366443634,4.576394557952881,-1.2477631568908691,3.1219277381896973,-4.576394557952881,0.20670375227928162
29,1594976,20958.088573932648,4.9824652671813965,-1.1623139381408691,3.629979372024536,-4.9824652671813965,0.19017231464385986
30,1650960,21681.026853084564,3.650621175765991,-1.1827402114868164,2.2793972492218018,-3.650621175765991,0.18848319351673126
31,1706512,22403.83568739891,3.9324209690093994,-1.1902718544006348,2.535536289215088,-3.9324209690093994,0.206612691283226
32,1761920,23126.800548553467,5.4059882164001465,-1.184255599975586,4.029068470001221,-5.4059882164001465,0.19266432523727417
33,1817328,23849.712724924088,6.0584635734558105,-1.1327308416366577,4.74721097946167,-6.0584635734558105,0.1785215437412262
34,1872240,24572.72577190399,5.342696666717529,-1.1486947536468506,4.01507568359375,-5.342696666717529,0.17892633378505707
35,1927584,25296.511981487274,4.999888896942139,-1.171903133392334,3.6516032218933105,-4.999888896942139,0.17638243734836578
36,1983152,26019.478533506393,4.073990821838379,-1.121612787246704,2.772491693496704,-4.073990821838379,0.17988650500774384
37,2038432,26742.30073928833,6.249335289001465,-1.14456307888031,4.930068016052246,-6.249335289001465,0.17470329999923706
38,2093840,27465.19356060028,6.285165309906006,-1.1434072256088257,4.962496280670166,-6.285165309906006,0.17926163971424103
39,2149024,28187.9998254776,5.872792720794678,-1.1458520889282227,4.54927396774292,-5.872792720794678,0.1776665300130844
40,2204144,28910.754736185074,5.228148937225342,-1.1680009365081787,3.88425612449646,-5.228148937225342,0.17589177191257477
41,2259040,29633.711090803146,4.653075218200684,-1.2203850746154785,3.2548818588256836,-4.653075218200684,0.17780806124210358
42,2313536,30356.502238988876,3.141071081161499,-1.1818220615386963,1.7818411588668823,-3.141071081161499,0.17740778625011444
43,2368544,31079.377774477005,4.982073783874512,-1.222450852394104,3.5731430053710938,-4.982073783874512,0.1864801049232483
