Model version,Images trained,Time [s],Loss (G),Loss (D),Loss (D-Real),Loss (D-Fake),Loss (D-GP)
1,36848,720.4612064361572,3.0309944,-10.227155,-11.266909,-3.0309944,4.0707483
2,74768,1444.5079791545868,13.915067,-1.7356684,10.759896,-13.915067,1.419502
3,112672,2168.4221472740173,10.493218,-5.7148685,2.9466867,-10.493218,1.8316637
4,150624,2892.4510939121246,11.592192,-6.472911,3.2993011,-11.592192,1.8199803
5,188608,3616.5338728427887,17.9601,-6.7437277,8.818162,-17.9601,2.3982105
6,226880,4340.549995660782,11.246674,-7.5513887,1.5405376,-11.246674,2.1547472
7,264960,5064.484994649887,7.188681,-4.7453594,1.1481683,-7.188681,1.2951531
8,302880,5788.402614355087,3.0468552,-4.0266385,-2.2144127,-3.0468552,1.2346299
9,340832,6512.645973920822,14.505524,-3.8456578,9.809346,-14.505524,0.8505197
10,378880,7236.6439571380615,14.258299,-3.5227644,9.869493,-14.258299,0.86604285
11,416944,7960.618095874786,16.256155,-3.1171546,12.334257,-16.256155,0.8047423
12,454736,8684.678138971329,23.428123,-3.2858787,19.410816,-23.428123,0.7314288
13,492960,9408.575055122375,24.28848,-2.6740758,20.911926,-24.28848,0.7024775
14,531072,10132.644904375076,18.745142,-2.9968686,15.076672,-18.745142,0.6716044
15,569216,10856.757198810577,17.63972,-2.8402848,14.101695,-17.63972,0.69773996
16,607744,11580.567960977554,23.964092,-3.1243253,20.139587,-23.964092,0.7001785
17,645280,12304.533547401428,15.117663,-2.585707,11.846171,-15.117663,0.68578464
18,683392,13028.672076702118,19.45691,-2.6963437,16.176096,-19.45691,0.584467
19,721376,13752.726318359375,12.710645,-2.6794534,9.364989,-12.710645,0.6662015
20,759184,14476.733215808868,18.705818,-2.8177853,15.204146,-18.705818,0.6838873
21,797200,15201.655366182327,19.523718,-2.7010322,16.182163,-19.523718,0.640523
22,835200,15925.8892288208,12.189384,-2.6981626,8.808645,-12.189384,0.6825753
23,873328,16649.89207649231,13.830456,-2.5295186,10.721188,-13.830456,0.57975006
24,911408,17374.21178007126,12.439619,-2.5360672,9.317284,-12.439619,0.58626807
25,949376,18098.16600704193,14.958863,-2.4991465,11.935892,-14.958863,0.52382475
26,987008,18822.19827413559,15.641662,-2.5588832,12.439575,-15.641662,0.64320385
27,1024512,19546.221838235855,21.649738,-2.4776175,18.594671,-21.649738,0.5774468
28,1062384,20270.121938943863,15.644493,-2.4958436,12.487274,-15.644493,0.661374
29,1100208,20994.087221622467,15.534459,-2.285768,12.676538,-15.534459,0.5721512
30,1138112,21718.00618338585,21.395767,-2.413328,18.44432,-21.395767,0.53811675
31,1176032,22442.069686174393,21.621975,-2.4311304,18.653187,-21.621975,0.5376585
32,1214144,23166.366210222244,18.173653,-2.5947123,14.991705,-18.173653,0.58723396
33,1251600,23890.284686088562,12.800506,-2.494084,9.685848,-12.800506,0.62057346
34,1289456,24614.23531794548,20.183918,-2.6167467,16.981794,-20.183918,0.5853768
35,1327312,25338.25581049919,24.458464,-2.732313,21.098171,-24.458464,0.6279784
36,1365104,26062.27782678604,20.667387,-2.7104592,17.340008,-20.667387,0.61691934
37,1402928,26786.708634376526,21.095179,-2.92377,17.49452,-21.095179,0.67688733
38,1440736,27511.21707034111,14.539648,-2.7585797,11.160882,-14.539648,0.6201856
39,1478640,28235.19005870819,20.299906,-2.6582596,16.996492,-20.299906,0.6451539
40,1516384,28959.140908956528,23.455208,-2.8010259,20.053112,-23.455208,0.60107017
41,1554192,29683.99690079689,21.631294,-2.6856096,18.341982,-21.631294,0.6037039
42,1591808,30408.05961751938,19.425085,-2.6342568,16.197865,-19.425085,0.5929614
43,1629280,31132.209224939346,19.314486,-2.7575507,15.932443,-19.314486,0.62449145
44,1667136,31856.107484340668,27.127136,-2.8276622,23.685268,-27.127136,0.614205
45,1704864,32580.22556424141,21.079102,-2.671094,17.762798,-21.079102,0.64520794
46,1742608,33304.25047636032,19.051344,-2.756144,15.683942,-19.051344,0.6112595
47,1780176,34028.46920824051,23.571112,-2.9516149,19.968119,-23.571112,0.6513788
