Model version,Images trained,Time [s],Loss (G),Loss (D),Loss (D-Real),Loss (D-Fake),Loss (D-GP)
1,15760,720.5224032402039,-3.5944264,-23.85695,-36.340084,3.5944264,8.888709
2,30464,1444.636850118637,17.19804,-7.135031,8.228886,-17.19804,1.8341223
3,45280,2169.941111803055,30.819437,-5.064896,24.224796,-30.819437,1.5297451
4,60208,2894.2392642498016,41.595306,-8.499187,30.938982,-41.595306,2.1571403
5,94800,3618.7888898849487,41.24383,-8.797714,30.179192,-41.24383,2.2669241
6,141472,4342.928387641907,49.759354,-8.5286455,38.891754,-49.759354,2.33895
7,188832,5067.072237253189,70.15434,-9.330034,58.292526,-70.15434,2.5317857
8,236096,5790.956357717514,96.87308,-8.881433,85.52763,-96.87308,2.4640021
9,282576,6515.014226436615,108.391235,-7.598042,98.757,-108.391235,2.036185
10,328464,7239.31041932106,99.69949,-6.991302,90.828156,-99.69949,1.8800347
11,375184,7963.311331510544,124.86678,-6.1538634,117.20389,-124.86678,1.5090283
12,422240,8687.438616037369,136.02774,-5.5032682,129.16327,-136.02774,1.3612148
13,469152,9411.6970808506,138.677,-4.6145754,133.00948,-138.677,1.0529585
14,515376,10136.192677259443,123.56704,-4.0649576,118.55391,-123.56704,0.94816476
15,561808,10860.2755382061,140.52217,-4.009604,135.63354,-140.52217,0.8790109
16,608864,11584.365128040314,147.17961,-3.9491615,142.35814,-147.17961,0.87231016
17,655824,12308.468344449995,140.47469,-4.0246563,135.5086,-140.47469,0.94143414
18,702816,13032.549397230148,144.22418,-3.8682003,139.44002,-144.22418,0.9159712
19,749200,13757.047811031342,143.75137,-4.137404,138.66437,-143.75137,0.94962364
20,795760,14481.139331817629,145.53812,-4.23992,140.29144,-145.53812,1.0067506
21,842400,15206.158414125444,127.814674,-4.0337863,122.81737,-127.814674,0.9635166
22,889360,15930.412858486176,129.96123,-4.159815,124.793785,-129.96123,1.007632
23,936096,16654.457073926926,148.58983,-4.1679335,143.39719,-148.58983,1.0247023
24,982352,17378.528297424316,149.35214,-4.2229667,144.0915,-149.35214,1.0376626
25,1028768,18102.528056144714,155.32706,-4.1599336,150.19795,-155.32706,0.9691654
26,1074560,18826.67348575592,148.42552,-4.120907,143.33786,-148.42552,0.96676654
27,1121312,19550.676171302795,148.03609,-4.1071634,142.94518,-148.03609,0.9837439
28,1168400,20275.02271270752,149.80327,-4.170789,144.63211,-149.80327,1.0003753
